MonitoringLocationIdentifier,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode
21NC01WQ-G3800000,Copper,Total,0,ug/l
21NC01WQ-G3800000,Copper,Total,0,ug/l
21NC01WQ-G3800000,Copper,Total,0,ug/l
21NC01WQ-G3800000,Copper,Total,0,ug/l
21NC01WQ-G8600000,Mercury,Total,0,ug/l
21NC01WQ-G8600000,Nickel,Total,0,ug/l
21NC01WQ-G8600000,Nickel,Total,0,ug/l
21NC01WQ-G8600000,Nickel,Total,0,ug/l
21NC01WQ-G8600000,Chromium,Total,0,ug/l
21NC01WQ-G8600000,Chromium,Total,0,ug/l
21NC01WQ-G8600000,Lead,Total,0,ug/l
21NC01WQ-G8600000,Zinc,Total,0,ug/l
21NC01WQ-G8600000,Zinc,Total,0,ug/l
21NC01WQ-G8600000,Chromium,Total,0,ug/l
21NC01WQ-G8600000,Chromium,Total,0,ug/l
21NC01WQ-G8600000,Chromium,Total,0,ug/l
21NC01WQ-G8600000,Lead,Total,0,ug/l
21NC01WQ-G8600000,Nickel,Total,0,ug/l
21NC01WQ-G8600000,Nickel,Total,0,ug/l
21NC01WQ-G8600000,Cadmium,Total,0,ug/l
21NC01WQ-G8600000,Mercury,Total,0,ug/l
21NC01WQ-G8600000,Mercury,Total,0,ug/l
21NC01WQ-G8600000,Cadmium,Total,0,ug/l
21NC01WQ-G8600000,Cadmium,Total,0,ug/l
21NC01WQ-G8600000,Lead,Total,0,ug/l
21NC01WQ-G8600000,Zinc,Total,0,ug/l
21NC01WQ-G8600000,Lead,Total,0,ug/l
21NC01WQ-G8600000,Copper,Total,0,ug/l
21NC01WQ-G8600000,Mercury,Total,0,ug/l
21NC01WQ-G8600000,Cadmium,Total,0,ug/l
21NC01WQ-G8600000,Zinc,Total,0,ug/l
21NC01WQ-G8600000,Cadmium,Total,0,ug/l
21NC01WQ-G8600000,Copper,Total,0,ug/l
21NC01WQ-G8600000,Copper,Total,0,ug/l
21NC01WQ-G8600000,Copper,Total,0,ug/l
21NC01WQ-G8600000,Copper,Total,0,ug/l
21NC01WQ-G8600000,Zinc,Total,0,ug/l
21NC01WQ-G8600000,Lead,Total,0,ug/l
21NC01WQ-G9900000,Nickel,Total,0,ug/l
21NC01WQ-G9900000,Chromium,Total,0,ug/l
21NC01WQ-G9900000,Lead,Total,0,ug/l
21NC01WQ-G9900000,Lead,Total,0,ug/l
21NC01WQ-G9900000,Lead,Total,0,ug/l
21NC01WQ-G9900000,Zinc,Total,0,ug/l
21NC01WQ-G9900000,Zinc,Total,0,ug/l
21NC01WQ-G9900000,Chromium,Total,0,ug/l
21NC01WQ-G9900000,Chromium,Total,0,ug/l
21NC01WQ-G9900000,Zinc,Total,0,ug/l
21NC01WQ-G9900000,Zinc,Total,0,ug/l
21NC01WQ-G9900000,Nickel,Total,0,ug/l
21NC01WQ-G9900000,Cadmium,Total,0,ug/l
21NC01WQ-G9900000,Nickel,Total,0,ug/l
21NC01WQ-G9900000,Nickel,Total,0,ug/l
21NC01WQ-G9900000,Nickel,Total,0,ug/l
21NC01WQ-G9900000,Cadmium,Total,0,ug/l
21NC01WQ-G9900000,Cadmium,Total,0,ug/l
21NC01WQ-G9900000,Mercury,Total,0,ug/l
21NC01WQ-G9900000,Cadmium,Total,0,ug/l
21NC01WQ-G9900000,Mercury,Total,0,ug/l
21NC01WQ-G9900000,Mercury,Total,0,ug/l
21NC01WQ-G9900000,Mercury,Total,0,ug/l
21NC01WQ-G9900000,Copper,Total,0,ug/l
21NC01WQ-G9900000,Copper,Total,0,ug/l
21NC01WQ-G9900000,Lead,Total,0,ug/l
21NC01WQ-G9900000,Lead,Total,0,ug/l
21NC01WQ-G9900000,Zinc,Total,0,ug/l
21NC01WQ-G9900000,Chromium,Total,0,ug/l
21NC01WQ-G9900000,Copper,Total,0,ug/l
21NC01WQ-G9900000,Cadmium,Total,0,ug/l
21NC01WQ-G9900000,Chromium,Total,0,ug/l
21NC01WQ-G9900000,Copper,Total,0,ug/l
21NC01WQ-G9900000,Copper,Total,0,ug/l
21NC01WQ-G8600000,Zinc,Total,0,ug/l
21NC01WQ-G8600000,Mercury,Total,0,ug/l
21NC01WQ-G8600000,Chromium,Total,0,ug/l
21NC01WQ-G8600000,Chromium,Total,0,ug/l
21NC01WQ-G8600000,Cadmium,Total,0,ug/l
21NC01WQ-G8600000,Lead,Total,0,ug/l
21NC01WQ-G8600000,Lead,Total,0,ug/l
21NC01WQ-G8600000,Zinc,Total,0,ug/l
21NC01WQ-G8600000,Chromium,Total,0,ug/l
21NC01WQ-G8600000,Chromium,Total,0,ug/l
21NC01WQ-G8600000,Aluminum,Total,200,ug/l
21NC01WQ-G8600000,Aluminum,Total,700,ug/l
21NC01WQ-G8600000,Aluminum,Total,300,ug/l
21NC01WQ-G8600000,Nickel,Total,0,ug/l
21NC01WQ-G8600000,Cadmium,Total,0,ug/l
21NC01WQ-G8600000,Nickel,Total,0,ug/l
21NC01WQ-G8600000,Nickel,Total,0,ug/l
21NC01WQ-G8600000,Nickel,Total,0,ug/l
21NC01WQ-G8600000,Cadmium,Total,0,ug/l
21NC01WQ-G8600000,Cadmium,Total,0,ug/l
21NC01WQ-G8600000,Mercury,Total,0,ug/l
21NC01WQ-G8600000,Lead,Total,0,ug/l
21NC01WQ-G8600000,Lead,Total,0,ug/l
21NC01WQ-G8600000,Zinc,Total,0,ug/l
21NC01WQ-G8600000,Copper,Total,0,ug/l
21NC01WQ-G8600000,Mercury,Total,0,ug/l
21NC01WQ-G8600000,Aluminum,Total,800,ug/l
21NC01WQ-G8600000,Copper,Total,0,ug/l
21NC01WQ-G8600000,Copper,Total,0,ug/l
21NC01WQ-G8600000,Copper,Total,0,ug/l
21NC01WQ-G8600000,Zinc,Total,0,ug/l
21NC01WQ-G8550000,Mercury,Total,0,ug/l
21NC01WQ-G8550000,Zinc,Total,0,ug/l
21NC01WQ-G8550000,Mercury,Total,0,ug/l
21NC01WQ-G8550000,Cobalt,Total,0,ug/l
21NC01WQ-G8550000,Mercury,Total,0,ug/l
21NC01WQ-G8550000,Cadmium,Total,0,ug/l
21NC01WQ-G8550000,Iron,Total,0,ug/l
21NC01WQ-G8550000,Lead,Total,0,ug/l
21NC01WQ-G8550000,Nickel,Total,0,ug/l
21NC01WQ-G8550000,Chromium,Total,0,ug/l
21NC01WQ-G8550000,Aluminum,Total,300,ug/l
21NC01WQ-G8550000,Chromium,Total,0,ug/l
21NC01WQ-G8550000,Chromium,Total,0,ug/l
21NC01WQ-G8550000,Nickel,Total,0,ug/l
21NC01WQ-G8550000,Nickel,Total,0,ug/l
21NC01WQ-G8550000,Nickel,Total,0,ug/l
21NC01WQ-G8550000,Zinc,Total,0,ug/l
21NC01WQ-G8550000,Copper,Total,0,ug/l
21NC01WQ-G8550000,Lead,Total,0,ug/l
21NC01WQ-G8550000,Chromium,Total,0,ug/l
21NC01WQ-G8550000,Lead,Total,0,ug/l
21NC01WQ-G8550000,Lead,Total,0,ug/l
21NC01WQ-G8550000,Silver,Total,300,ug/l
21NC01WQ-G8550000,Cadmium,Total,0,ug/l
21NC01WQ-G8550000,Cadmium,Total,0,ug/l
21NC01WQ-G8550000,Copper,Total,0,ug/l
21NC01WQ-G8550000,Cadmium,Total,0,ug/l
21NC01WQ-G8550000,Zinc,Total,0,ug/l
21NC01WQ-G8550000,Zinc,Total,0,ug/l
21NC01WQ-G8550000,Copper,Total,0,ug/l
21NC01WQ-G8550000,Aluminum,Total,200,ug/l
21NC01WQ-G8550000,Aluminum,Total,100,ug/l
21NC01WQ-G8550000,Copper,Total,0,ug/l
21NC01WQ-G8550000,Aluminum,Total,300,ug/l
21NC01WQ-G9900000,Mercury,Total,0,ug/l
21NC01WQ-G9900000,Nickel,Total,0,ug/l
21NC01WQ-G9900000,Nickel,Total,0,ug/l
21NC01WQ-G9900000,Chromium,Total,0,ug/l
21NC01WQ-G9900000,Chromium,Total,0,ug/l
21NC01WQ-G9900000,Zinc,Total,0,ug/l
21NC01WQ-G9900000,Zinc,Total,0,ug/l
21NC01WQ-G9900000,Chromium,Total,0,ug/l
21NC01WQ-G9900000,Aluminum,Total,400,ug/l
21NC01WQ-G9900000,Aluminum,Total,100,ug/l
21NC01WQ-G9900000,Copper,Total,0,ug/l
21NC01WQ-G9900000,Zinc,Total,0,ug/l
21NC01WQ-G9900000,Cadmium,Total,0,ug/l
21NC01WQ-G9900000,Nickel,Total,0,ug/l
21NC01WQ-G9900000,Lead,Total,0,ug/l
21NC01WQ-G9900000,Mercury,Total,0,ug/l
21NC01WQ-G9900000,Chromium,Total,0,ug/l
21NC01WQ-G9900000,Cadmium,Total,0,ug/l
21NC01WQ-G9900000,Mercury,Total,0,ug/l
21NC01WQ-G9900000,Zinc,Total,0,ug/l
21NC01WQ-G9900000,Lead,Total,0,ug/l
21NC01WQ-G9900000,Lead,Total,0,ug/l
21NC01WQ-G9900000,Lead,Total,0,ug/l
21NC01WQ-G9900000,Cadmium,Total,0,ug/l
21NC01WQ-G9900000,Cadmium,Total,0,ug/l
21NC01WQ-G9900000,Mercury,Total,0,ug/l
21NC01WQ-G9900000,Nickel,Total,0,ug/l
21NC01WQ-G9900000,Aluminum,Total,0,ug/l
21NC01WQ-G9900000,Copper,Total,0,ug/l
21NC01WQ-G9900000,Copper,Total,0,ug/l
21NC01WQ-G9900000,Aluminum,Total,100,ug/l
21NC01WQ-G9900000,Copper,Total,0,ug/l
21NC01WQ-G8600000,Zinc,Total,0,ug/l
21NC01WQ-G8600000,Zinc,Total,0,ug/l
21NC01WQ-G8600000,Mercury,Total,0,ug/l
21NC01WQ-G8600000,Mercury,Total,0,ug/l
21NC01WQ-G8600000,Nickel,Total,0,ug/l
21NC01WQ-G8600000,Chromium,Total,0,ug/l
21NC01WQ-G8600000,Cadmium,Total,0,ug/l
21NC01WQ-G8600000,Cadmium,Total,0,ug/l
21NC01WQ-G8600000,Lead,Total,0,ug/l
21NC01WQ-G8600000,Lead,Total,0,ug/l
21NC01WQ-G8600000,Aluminum,Total,1100,ug/l
21NC01WQ-G8600000,Lead,Total,0,ug/l
21NC01WQ-G8600000,Aluminum,Total,50,ug/l
21NC01WQ-G8600000,Mercury,Total,0,ug/l
21NC01WQ-G8600000,Nickel,Total,0,ug/l
21NC01WQ-G8600000,Nickel,Total,0,ug/l
21NC01WQ-G8600000,Aluminum,Total,350,ug/l
21NC01WQ-G8600000,Cadmium,Total,0,ug/l
21NC01WQ-G8600000,Mercury,Total,0,ug/l
21NC01WQ-G8600000,Zinc,Total,0,ug/l
21NC01WQ-G8600000,Chromium,Total,0,ug/l
21NC01WQ-G8600000,Chromium,Total,0,ug/l
21NC01WQ-G8600000,Lead,Total,0,ug/l
21NC01WQ-G8600000,Copper,Total,0,ug/l
21NC01WQ-G8600000,Nickel,Total,0,ug/l
21NC01WQ-G8600000,Aluminum,Total,250,ug/l
21NC01WQ-G8600000,Cadmium,Total,0,ug/l
21NC01WQ-G8600000,Zinc,Total,23,ug/l
21NC01WQ-G8600000,Chromium,Total,0,ug/l
21NC01WQ-G8600000,Aluminum,Total,2100,ug/l
21NC01WQ-G8600000,Copper,Total,0,ug/l
21NC01WQ-G8600000,Copper,Total,0,ug/l
21NC01WQ-G8600000,Copper,Total,0,ug/l
21NC01WQ-G8550000,Zinc,Total,0,ug/l
21NC01WQ-G8550000,Mercury,Total,0,ug/l
21NC01WQ-G8550000,Mercury,Total,0,ug/l
21NC01WQ-G8550000,Cadmium,Total,0,ug/l
21NC01WQ-G8550000,Lead,Total,0,ug/l
21NC01WQ-G8550000,Chromium,Total,0,ug/l
21NC01WQ-G8550000,Aluminum,Total,780,ug/l
21NC01WQ-G8550000,Aluminum,Total,100,ug/l
21NC01WQ-G8550000,Chromium,Total,0,ug/l
21NC01WQ-G8550000,Cadmium,Total,0,ug/l
21NC01WQ-G8550000,Nickel,Total,0,ug/l
21NC01WQ-G8550000,Nickel,Total,0,ug/l
21NC01WQ-G8550000,Nickel,Total,0,ug/l
21NC01WQ-G8550000,Cadmium,Total,0,ug/l
21NC01WQ-G8550000,Cadmium,Total,0,ug/l
21NC01WQ-G8550000,Chromium,Total,0,ug/l
21NC01WQ-G8550000,Mercury,Total,0,ug/l
21NC01WQ-G8550000,Copper,Total,0,ug/l
21NC01WQ-G8550000,Zinc,Total,0,ug/l
21NC01WQ-G8550000,Zinc,Total,0,ug/l
21NC01WQ-G8550000,Nickel,Total,0,ug/l
21NC01WQ-G8550000,Lead,Total,0,ug/l
21NC01WQ-G8550000,Copper,Total,0,ug/l
21NC01WQ-G8550000,Aluminum,Total,150,ug/l
21NC01WQ-G8550000,Mercury,Total,0,ug/l
21NC01WQ-G8550000,Zinc,Total,0,ug/l
21NC01WQ-G8550000,Chromium,Total,0,ug/l
21NC01WQ-G8550000,Lead,Total,0,ug/l
21NC01WQ-G8550000,Lead,Total,0,ug/l
21NC01WQ-G8550000,Aluminum,Total,200,ug/l
21NC01WQ-G8550000,Aluminum,Total,50,ug/l
21NC01WQ-G8550000,Copper,Total,0,ug/l
21NC01WQ-G8550000,Copper,Total,0,ug/l
21NC01WQ-G9900000,Mercury,Total,0,ug/l
21NC01WQ-G9900000,Lead,Total,0,ug/l
21NC01WQ-G9900000,Cadmium,Total,0,ug/l
21NC01WQ-G9900000,Cadmium,Total,0,ug/l
21NC01WQ-G9900000,Aluminum,Total,100,ug/l
21NC01WQ-G9900000,Copper,Total,0,ug/l
21NC01WQ-G9900000,Chromium,Total,0,ug/l
21NC01WQ-G9900000,Cadmium,Total,0,ug/l
21NC01WQ-G9900000,Nickel,Total,0,ug/l
21NC01WQ-G9900000,Nickel,Total,0,ug/l
21NC01WQ-G9900000,Copper,Total,0,ug/l
21NC01WQ-G9900000,Copper,Total,0,ug/l
21NC01WQ-G9900000,Mercury,Total,0,ug/l
21NC01WQ-G9900000,Chromium,Total,0,ug/l
21NC01WQ-G9900000,Zinc,Total,0,ug/l
21NC01WQ-G9900000,Chromium,Total,0,ug/l
21NC01WQ-G9900000,Zinc,Total,0,ug/l
21NC01WQ-G9900000,Lead,Total,0,ug/l
21NC01WQ-G9900000,Lead,Total,0,ug/l
21NC01WQ-G9900000,Mercury,Total,0,ug/l
21NC01WQ-G9900000,Aluminum,Total,100,ug/l
21NC01WQ-G9900000,Aluminum,Total,0,ug/l
21NC01WQ-G9900000,Nickel,Total,0,ug/l
21NC01WQ-G9900000,Aluminum,Total,200,ug/l
21NC01WQ-G9900000,Zinc,Total,0,ug/l
21NC01WQ-G9240010,Zinc,Total,0,ug/l
21NC01WQ-G9240010,Mercury,Total,0,ug/l
21NC01WQ-G9240010,Nickel,Total,0,ug/l
21NC01WQ-G9240010,Aluminum,Total,50,ug/l
21NC01WQ-G9240010,Cadmium,Total,0,ug/l
21NC01WQ-G9240010,Chromium,Total,0,ug/l
21NC01WQ-G9240010,Lead,Total,0,ug/l
21NC01WQ-G9240010,Copper,Total,0,ug/l
21NC01WQ-G9210010,Mercury,Total,0,ug/l
21NC01WQ-G9210010,Lead,Total,0,ug/l
21NC01WQ-G9210010,Zinc,Total,0,ug/l
21NC01WQ-G9210010,Nickel,Total,0,ug/l
21NC01WQ-G9210010,Cadmium,Total,0,ug/l
21NC01WQ-G9210010,Chromium,Total,0,ug/l
21NC01WQ-G9210010,Aluminum,Total,100,ug/l
21NC01WQ-G9210010,Copper,Total,0,ug/l
21NC01WQ-G9220010,Chromium,Total,0,ug/l
21NC01WQ-G9220010,Aluminum,Total,50,ug/l
21NC01WQ-G9220010,Lead,Total,0,ug/l
21NC01WQ-G9220010,Cadmium,Total,0,ug/l
21NC01WQ-G9220010,Nickel,Total,0,ug/l
21NC01WQ-G9220010,Zinc,Total,0,ug/l
21NC01WQ-G9220010,Copper,Total,0,ug/l
21NC01WQ-G9220010,Mercury,Total,0,ug/l
21NC01WQ-G8600000,Zinc,Total,16,ug/l
21NC01WQ-G8600000,Zinc,Total,0,ug/l
21NC01WQ-G8600000,Mercury,Total,0,ug/l
21NC01WQ-G8600000,Mercury,Total,0,ug/l
21NC01WQ-G8600000,Chromium,Total,0,ug/l
21NC01WQ-G8600000,Cadmium,Total,0,ug/l
21NC01WQ-G8600000,Lead,Total,0,ug/l
21NC01WQ-G8600000,Chromium,Total,0,ug/l
21NC01WQ-G8600000,Zinc,Total,0,ug/l
21NC01WQ-G8600000,Zinc,Total,0,ug/l
21NC01WQ-G8600000,Copper,Total,0,ug/l
21NC01WQ-G8600000,Lead,Total,0,ug/l
21NC01WQ-G8600000,Nickel,Total,0,ug/l
21NC01WQ-G8600000,Nickel,Total,0,ug/l
21NC01WQ-G8600000,Nickel,Total,0,ug/l
21NC01WQ-G8600000,Chromium,Total,130,ug/l
21NC01WQ-G8600000,Chromium,Total,0,ug/l
21NC01WQ-G8600000,Cadmium,Total,0,ug/l
21NC01WQ-G8600000,Lead,Total,0,ug/l
21NC01WQ-G8600000,Cadmium,Total,0,ug/l
21NC01WQ-G8600000,Nickel,Total,230,ug/l
21NC01WQ-G8600000,Cadmium,Total,0,ug/l
21NC01WQ-G8600000,Mercury,Total,0,ug/l
21NC01WQ-G8600000,Aluminum,Total,700,ug/l
21NC01WQ-G8600000,Copper,Total,35,ug/l
21NC01WQ-G8600000,Aluminum,Total,400,ug/l
21NC01WQ-G8600000,Copper,Total,0,ug/l
21NC01WQ-G8600000,Copper,Total,0,ug/l
21NC01WQ-G8600000,Lead,Total,0,ug/l
21NC01WQ-G9291010,Lead,Total,0,ug/l
21NC01WQ-G9291010,Zinc,Total,0,ug/l
21NC01WQ-G9291010,Cadmium,Total,0,ug/l
21NC01WQ-G9291010,Chromium,Total,0,ug/l
21NC01WQ-G9291010,Nickel,Total,0,ug/l
21NC01WQ-G9291010,Aluminum,Total,50,ug/l
21NC01WQ-G9291010,Copper,Total,0,ug/l
21NC01WQ-G9291010,Mercury,Total,0,ug/l
21NC01WQ-G8550000,Mercury,Total,0,ug/l
21NC01WQ-G8550000,Lead,Total,0,ug/l
21NC01WQ-G8550000,Nickel,Total,0,ug/l
21NC01WQ-G8550000,Chromium,Total,0,ug/l
21NC01WQ-G8550000,Chromium,Total,0,ug/l
21NC01WQ-G8550000,Zinc,Total,0,ug/l
21NC01WQ-G8550000,Aluminum,Total,200,ug/l
21NC01WQ-G8550000,Aluminum,Total,500,ug/l
21NC01WQ-G8550000,Chromium,Total,0,ug/l
21NC01WQ-G8550000,Chromium,Total,0,ug/l
21NC01WQ-G8550000,Nickel,Total,0,ug/l
21NC01WQ-G8550000,Nickel,Total,0,ug/l
21NC01WQ-G8550000,Nickel,Total,0,ug/l
21NC01WQ-G8550000,Zinc,Total,11,ug/l
21NC01WQ-G8550000,Cadmium,Total,0,ug/l
21NC01WQ-G8550000,Cadmium,Total,0,ug/l
21NC01WQ-G8550000,Cadmium,Total,0,ug/l
21NC01WQ-G8550000,Mercury,Total,0,ug/l
21NC01WQ-G8550000,Mercury,Total,0,ug/l
21NC01WQ-G8550000,Copper,Total,0,ug/l
21NC01WQ-G8550000,Zinc,Total,45,ug/l
21NC01WQ-G8550000,Lead,Total,0,ug/l
21NC01WQ-G8550000,Lead,Total,0,ug/l
21NC01WQ-G8550000,Lead,Total,0,ug/l
21NC01WQ-G8550000,Copper,Total,0,ug/l
21NC01WQ-G8550000,Zinc,Total,0,ug/l
21NC01WQ-G8550000,Cadmium,Total,0,ug/l
21NC01WQ-G8550000,Copper,Total,0,ug/l
21NC01WQ-G8550000,Copper,Total,0,ug/l
21NC01WQ-G8550000,Aluminum,Total,100,ug/l
21NC01WQ-G8600000,Lead,Total,0,ug/l
21NC01WQ-G8600000,Nickel,Total,0,ug/l
21NC01WQ-G8600000,Zinc,Total,0,ug/l
21NC01WQ-G8600000,Chromium,Total,0,ug/l
21NC01WQ-G8600000,Chromium,Total,0,ug/l
21NC01WQ-G8600000,Cadmium,Total,0,ug/l
21NC01WQ-G8600000,Lead,Total,0,ug/l
21NC01WQ-G8600000,Zinc,Total,0,ug/l
21NC01WQ-G8600000,Chromium,Total,0,ug/l
21NC01WQ-G8600000,Mercury,Total,0,ug/l
21NC01WQ-G8600000,Mercury,Total,0,ug/l
21NC01WQ-G8600000,Mercury,Total,0,ug/l
21NC01WQ-G8600000,Nickel,Total,0,ug/l
21NC01WQ-G8600000,Nickel,Total,0,ug/l
21NC01WQ-G8600000,Nickel,Total,0,ug/l
21NC01WQ-G8600000,Mercury,Total,0,ug/l
21NC01WQ-G8600000,Cadmium,Total,0,ug/l
21NC01WQ-G8600000,Chromium,Total,0,ug/l
21NC01WQ-G8600000,Copper,Total,0,ug/l
21NC01WQ-G8600000,Lead,Total,0,ug/l
21NC01WQ-G8600000,Lead,Total,0,ug/l
21NC01WQ-G8600000,Cadmium,Total,0,ug/l
21NC01WQ-G8600000,Zinc,Total,0,ug/l
21NC01WQ-G8600000,Zinc,Total,0,ug/l
21NC01WQ-G8600000,Cadmium,Total,0,ug/l
21NC01WQ-G8600000,Copper,Total,0,ug/l
21NC01WQ-G8600000,Copper,Total,0,ug/l
21NC01WQ-G8600000,Copper,Total,0,ug/l
21NC01WQ-G8550000,Zinc,Total,0,ug/l
21NC01WQ-G8550000,Zinc,Total,0,ug/l
21NC01WQ-G8550000,Zinc,Total,0,ug/l
21NC01WQ-G8550000,Mercury,Total,0,ug/l
21NC01WQ-G8550000,Nickel,Total,0,ug/l
21NC01WQ-G8550000,Chromium,Total,0,ug/l
21NC01WQ-G8550000,Chromium,Total,0,ug/l
21NC01WQ-G8550000,Cadmium,Total,0,ug/l
21NC01WQ-G8550000,Lead,Total,0,ug/l
21NC01WQ-G8550000,Mercury,Total,0,ug/l
21NC01WQ-G8550000,Nickel,Total,0,ug/l
21NC01WQ-G8550000,Aluminum,Total,150,ug/l
21NC01WQ-G8550000,Mercury,Total,0,ug/l
21NC01WQ-G8550000,Nickel,Total,0,ug/l
21NC01WQ-G8550000,Copper,Total,0,ug/l
21NC01WQ-G8550000,Nickel,Total,0,ug/l
21NC01WQ-G8550000,Cadmium,Total,0,ug/l
21NC01WQ-G8550000,Cadmium,Total,0,ug/l
21NC01WQ-G8550000,Chromium,Total,0,ug/l
21NC01WQ-G8550000,Chromium,Total,0,ug/l
21NC01WQ-G8550000,Lead,Total,0,ug/l
21NC01WQ-G8550000,Lead,Total,0,ug/l
21NC01WQ-G8550000,Copper,Total,0,ug/l
21NC01WQ-G8550000,Lead,Total,0,ug/l
21NC01WQ-G8550000,Zinc,Total,0,ug/l
21NC01WQ-G8550000,Copper,Total,0,ug/l
21NC01WQ-G8550000,Cadmium,Total,0,ug/l
21NC01WQ-G8550000,Mercury,Total,0,ug/l
21NC01WQ-G8550000,Copper,Total,0,ug/l
21NC01WQ-G8550000,Copper,Total,0,ug/l
21NC01WQ-G8600000,Copper,Total,,
21NC01WQ-G8600000,Mercury,Total,0,ug/l
21NC01WQ-G8600000,Zinc,Total,12,ug/l
21NC01WQ-G8600000,Zinc,Total,0,ug/l
21NC01WQ-G8600000,Lead,Total,0,ug/l
21NC01WQ-G8600000,Lead,Total,0,ug/l
21NC01WQ-G8600000,Nickel,Total,0,ug/l
21NC01WQ-G8600000,Nickel,Total,0,ug/l
21NC01WQ-G8600000,Lead,Total,,
21NC01WQ-G8600000,Lead,Total,0,ug/l
21NC01WQ-G8600000,Mercury,Total,0.7,ug/l
21NC01WQ-G8600000,Nickel,Total,0,ug/l
21NC01WQ-G8600000,Aluminum,Total,98,ug/l
21NC01WQ-G8600000,Aluminum,Total,98,ug/l
21NC01WQ-G8600000,Mercury,Total,2.3,ug/l
21NC01WQ-G8600000,Mercury,Total,,
21NC01WQ-G8600000,Cadmium,Total,0,ug/l
21NC01WQ-G8600000,Zinc,Total,0,ug/l
21NC01WQ-G8600000,Nickel,Total,0,ug/l
21NC01WQ-G8600000,Cobalt,Total,,
21NC01WQ-G8600000,Nickel,Total,,
21NC01WQ-G8600000,Mercury,Total,0,ug/l
21NC01WQ-G8600000,Copper,Total,0,ug/l
21NC01WQ-G8600000,Copper,Total,0,ug/l
21NC01WQ-G8600000,Chromium,Total,0,ug/l
21NC01WQ-G8600000,Cadmium,Total,,
21NC01WQ-G8600000,Cadmium,Total,,
21NC01WQ-G8600000,Lead,Total,0,ug/l
21NC01WQ-G8600000,Lead,Total,,
21NC01WQ-G8600000,Chromium,Total,,
21NC01WQ-G8600000,Copper,Total,,
21NC01WQ-G8600000,Cadmium,Total,0,ug/l
21NC01WQ-G8600000,Cadmium,Total,0,ug/l
21NC01WQ-G8600000,Cobalt,Total,,
21NC01WQ-G8600000,Silver,Total,,
21NC01WQ-G8600000,Silver,Total,,
21NC01WQ-G8600000,Zinc,Total,,
21NC01WQ-G8600000,Zinc,Total,,
21NC01WQ-G8600000,Iron,Total,72,ug/l
21NC01WQ-G8600000,Iron,Total,72,ug/l
21NC01WQ-G8600000,Mercury,Total,,
21NC01WQ-G8600000,Nickel,Total,,
21NC01WQ-G8600000,Chromium,Total,,
21NC01WQ-G8600000,Chromium,Total,0,ug/l
21NC01WQ-G8600000,Cadmium,Total,0,ug/l
21NC01WQ-G8600000,Zinc,Total,0,ug/l
21NC01WQ-G8600000,Manganese,Total,,
21NC01WQ-G8600000,Manganese,Total,,
21NC01WQ-G8600000,Copper,Total,0,ug/l
21NC01WQ-G8600000,Copper,Total,0,ug/l
21NC01WQ-G8600000,Chromium,Total,0,ug/l
21NC01WQ-G8600000,Chromium,Total,0,ug/l
21NC01WQ-G8600000,Lithium,Total,,
21NC01WQ-G8600000,Lithium,Total,,
21NC01WQ-G8600000,Beryllium,Total,,
21NC01WQ-G8600000,Beryllium,Total,,
21NC01WQ-G8550000,Copper,Total,,
21NC01WQ-G8550000,Nickel,Total,,
21NC01WQ-G8550000,Mercury,Total,0,ug/l
21NC01WQ-G8550000,Mercury,Total,0,ug/l
21NC01WQ-G8550000,Mercury,Total,0,ug/l
21NC01WQ-G8550000,Zinc,Total,17,ug/l
21NC01WQ-G8550000,Lead,Total,0,ug/l
21NC01WQ-G8550000,Mercury,Total,0,ug/l
21NC01WQ-G8550000,Cobalt,Total,0,ug/l
21NC01WQ-G8550000,Silver,Total,,
21NC01WQ-G8550000,Silver,Total,0,ug/l
21NC01WQ-G8550000,Nickel,Total,0,ug/l
21NC01WQ-G8550000,Manganese,Total,0,ug/l
21NC01WQ-G8550000,Lead,Total,0,ug/l
21NC01WQ-G8550000,Copper,Total,0,ug/l
21NC01WQ-G8550000,Aluminum,Total,80,ug/l
21NC01WQ-G8550000,Zinc,Total,0,ug/l
21NC01WQ-G8550000,Nickel,Total,0,ug/l
21NC01WQ-G8550000,Mercury,Total,,
21NC01WQ-G8550000,Mercury,Total,0.7,ug/l
21NC01WQ-G8550000,Nickel,Total,0,ug/l
21NC01WQ-G8550000,Nickel,Total,0,ug/l
21NC01WQ-G8550000,Cadmium,Total,0,ug/l
21NC01WQ-G8550000,Nickel,Total,0,ug/l
21NC01WQ-G8550000,Copper,Total,0,ug/l
21NC01WQ-G8550000,Cadmium,Total,0,ug/l
21NC01WQ-G8550000,Copper,Total,0,ug/l
21NC01WQ-G8550000,Copper,Total,0,ug/l
21NC01WQ-G8550000,Lead,Total,0,ug/l
21NC01WQ-G8550000,Chromium,Total,0,ug/l
21NC01WQ-G8550000,Chromium,Total,0,ug/l
21NC01WQ-G8550000,Cadmium,Total,,
21NC01WQ-G8550000,Lead,Total,0,ug/l
21NC01WQ-G8550000,Lead,Total,,
21NC01WQ-G8550000,Chromium,Total,0,ug/l
21NC01WQ-G8550000,Zinc,Total,,
21NC01WQ-G8550000,Cobalt,Total,,
21NC01WQ-G8550000,Cadmium,Total,0,ug/l
21NC01WQ-G8550000,Iron,Total,67,ug/l
