MonitoringLocationIdentifier,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode
USGS-03503000,Iron,Dissolved,0,ug/l
USGS-03503000,Iron,Dissolved,20,ug/l
USGS-03469500,Iron,Dissolved,70,ug/l
USGS-03469400,Iron,Dissolved,50,ug/l
USGS-03497180,Iron,Dissolved,10,ug/l
USGS-03469290,Iron,Dissolved,20,ug/l
USGS-03470000,Iron,Dissolved,150,ug/l
USGS-03469160,Iron,Recoverable,30,ug/l
USGS-03470000,Iron,Dissolved,40,ug/l
USGS-03469160,Iron,Recoverable,280,ug/l
USGS-03469400,Iron,Dissolved,20,ug/l
USGS-03505500,Iron,Dissolved,,
USGS-03470000,Iron,Dissolved,1760,ug/l
USGS-03469225,Iron,Dissolved,0,ug/l
USGS-03469100,Iron,Dissolved,10,ug/l
USGS-03470000,Iron,Dissolved,90,ug/l
USGS-03469160,Iron,Recoverable,80,ug/l
USGS-03505500,Iron,Dissolved,20,ug/l
USGS-03469500,Iron,Dissolved,110,ug/l
USGS-03503000,Iron,Dissolved,210,ug/l
USGS-03503000,Iron,Dissolved,120,ug/l
USGS-03505500,Iron,Dissolved,0,ug/l
USGS-03505500,Mercury,Dissolved,0.5,ug/l
USGS-03512468,Mercury,Recoverable,,
USGS-03512468,Iron,Dissolved,,
USGS-03513000,Iron,Dissolved,70,ug/l
USGS-03505500,Iron,Dissolved,0,ug/l
USGS-03505500,Mercury,Dissolved,0.5,ug/l
USGS-03503000,Iron,Dissolved,40,ug/l
USGS-03513000,Iron,Recoverable,170,ug/l
USGS-03505500,Iron,Dissolved,10,ug/l
USGS-03503000,Iron,Dissolved,150,ug/l
USGS-03470000,Iron,Recoverable,80,ug/l
USGS-03503000,Iron,Dissolved,0,ug/l
USGS-03470000,Iron,Recoverable,50,ug/l
USGS-03505500,Iron,Dissolved,,
USGS-03505500,Iron,Dissolved,80,ug/l
USGS-03503000,Iron,Dissolved,,
USGS-03503000,Iron,Dissolved,170,ug/l
USGS-03503000,Iron,Dissolved,270,ug/l
USGS-03513000,Iron,Dissolved,170,ug/l
USGS-03503000,Iron,Dissolved,130,ug/l
USGS-03505500,Iron,Dissolved,80,ug/l
USGS-03505500,Iron,Dissolved,70,ug/l
USGS-03503000,Iron,Dissolved,30,ug/l
USGS-03505500,Iron,Dissolved,80,ug/l
USGS-03505500,Iron,Dissolved,60,ug/l
USGS-03505500,Iron,Dissolved,60,ug/l
USGS-03512468,Iron,Dissolved,160,ug/l
USGS-03503000,Cadmium,Total,,
USGS-03503000,Chromium(VI),Dissolved,,
USGS-03503000,Chromium,Recoverable,,
USGS-03503000,Iron,Dissolved,0,ug/l
USGS-03503000,Lead,Recoverable,,
USGS-03503000,Zinc,Recoverable,,
USGS-03503000,Mercury,Recoverable,,
USGS-03513000,Iron,Recoverable,180,ug/l
USGS-03505500,Iron,Dissolved,0,ug/l
USGS-03470000,Iron,Recoverable,60,ug/l
USGS-03513000,Iron,Dissolved,180,ug/l
USGS-03505500,Iron,Dissolved,20,ug/l
USGS-03503000,Iron,Dissolved,120,ug/l
USGS-03469900,Iron,Recoverable,50,ug/l
USGS-03505500,Iron,Dissolved,140,ug/l
USGS-03513000,Iron,Dissolved,120,ug/l
USGS-03470000,Iron,Recoverable,60,ug/l
USGS-03503000,Iron,Recoverable,140,ug/l
USGS-03505500,Iron,Dissolved,60,ug/l
USGS-03503000,Iron,Dissolved,,
USGS-03503000,Iron,Dissolved,10,ug/l
USGS-03512468,Cadmium,Total,,
USGS-03512468,Chromium(VI),Dissolved,,
USGS-03512468,Chromium,Recoverable,,
USGS-03512468,Lead,Recoverable,,
USGS-03512468,Zinc,Recoverable,,
USGS-03512468,Mercury,Recoverable,,
USGS-03505500,Iron,Dissolved,0,ug/l
USGS-03469900,Iron,Recoverable,60,ug/l
USGS-03469900,Iron,Recoverable,80,ug/l
USGS-03503000,Iron,Dissolved,170,ug/l
USGS-03503000,Iron,Dissolved,0,ug/l
USGS-03513000,Iron,Dissolved,110,ug/l
USGS-03505500,Mercury,Recoverable,,
USGS-03469900,Iron,Recoverable,80,ug/l
USGS-03505500,Iron,Dissolved,0,ug/l
USGS-03513000,Iron,Recoverable,170,ug/l
USGS-03503000,Iron,Dissolved,20,ug/l
USGS-03503000,Mercury,Dissolved,0.5,ug/l
USGS-03505500,Iron,Dissolved,0,ug/l
USGS-03503000,Iron,Dissolved,150,ug/l
USGS-03505500,Cadmium,Total,,
USGS-03505500,Chromium(VI),Dissolved,,
USGS-03505500,Chromium,Recoverable,,
USGS-03505500,Iron,Dissolved,0,ug/l
USGS-03505500,Lead,Recoverable,,
USGS-03505500,Zinc,Recoverable,,
USGS-03505500,Mercury,Recoverable,,
USGS-03503000,Iron,Dissolved,0,ug/l
USGS-03505500,Iron,Dissolved,0,ug/l
USGS-03513000,Iron,Dissolved,40,ug/l
USGS-03469900,Iron,Recoverable,50,ug/l
USGS-03512468,Iron,Dissolved,,
USGS-03513000,Iron,Dissolved,170,ug/l
USGS-03513000,Iron,Dissolved,160,ug/l
USGS-03503000,Iron,Dissolved,240,ug/l
USGS-03512468,Iron,Dissolved,100,ug/l
USGS-03512468,Mercury,Dissolved,0.5,ug/l
